SM;SIFRA_M;KONTO;CENA;KOLICINA;VREDNOST;POCST_K;POCST_V;ULAZK;ULAZ_V;IZLAZK;IZLAZ_V;STANJE_K;STANJE_V;ST_MAG
41;411100585;101000;2500;6;15000;6;15000;0;0;0;0;6;15000;0
41;411100588;101000;2500;12;30000;12;30000;0;0;0;0;12;30000;0
41;411100631;101000;380;18;6840;18;6840;0;0;0;0;18;6840;0
41;411100632;101000;1320;6;7920;6;7920;0;0;0;0;6;7920;0
41;411100708;101000;2800;12;33600;12;33600;0;0;0;0;12;33600;0
41;411100726;101000;4160;1;4160;1;4160;0;0;0;0;1;4160;0
41;411100728;101000;1900;4;7600;4;7600;0;0;0;0;4;7600;0
41;413100005;101000;39.21;37;1450.91;37;1450.91;0;0;0;0;37;1450.91;0
41;413100015;101000;289.35;44;12731.6;46;13310.31;0;0;2;578.71;44;12731.6;0
41;413100016;101000;1310;1;1310;1;1310;0;0;0;0;1;1310;0
41;413100069;101000;216.4;2;432.8;2;432.8;0;0;0;0;2;432.8;0
41;413100074;101000;209.28;9;1883.56;9;1883.56;0;0;0;0;9;1883.56;0
41;413100078;101000;244.92;33;8082.42;33;8082.42;0;0;0;0;33;8082.42;0
41;413100103;101000;245.95;7;1721.62;7;1721.62;0;0;0;0;7;1721.62;0
41;413100126;101000;1401.23;6;8407.35;6;8407.35;0;0;0;0;6;8407.35;0
41;413100135;101000;2820.26;10;28202.58;10;28202.58;0;0;0;0;10;28202.58;0
41;413100198;101000;264.88;123;32580.35;123;32580.35;0;0;0;0;123;32580.35;0
41;413100199;101000;663.48;1;663.48;1;663.48;0;0;0;0;1;663.48;0
41;413100224;101000;484.33;9;4358.97;9;4358.97;0;0;0;0;9;4358.97;0
41;413100227;101000;3582;6;21492;6;21492;0;0;0;0;6;21492;0
41;413100228;101000;3620;1;3620;1;3620;0;0;0;0;1;3620;0
41;413100274;101000;2.75;27;74.25;27;74.25;0;0;0;0;27;74.25;0
41;413100291;101000;4.2;79;331.8;79;331.8;0;0;0;0;79;331.8;0
41;413100293;101000;79.46;136;10806.7;136;10806.7;0;0;0;0;136;10806.7;0
41;413100334;101000;3.57;48;171.36;48;171.36;0;0;0;0;48;171.36;0
41;413100862;101000;3584.45;2;7168.89;2;7168.89;0;0;0;0;2;7168.89;0
41;413100867;101010;27089.86;1;27089.86;1;27089.86;0;0;0;0;1;27089.86;0
41;413100874;101000;7835;1;7835;1;7835;0;0;0;0;1;7835;0
41;413100969;101000;2374.88;4;9499.53;4;9499.53;0;0;0;0;4;9499.53;0
41;413100996;101000;264;1;264;1;264;0;0;0;0;1;264;0
41;413101030;101000;2613.34;1;2613.34;1;2613.34;0;0;0;0;1;2613.34;0
41;413101045;101000;346;1;346;1;346;0;0;0;0;1;346;0
41;413101047;101000;305;1;305;1;305;0;0;0;0;1;305;0
41;413101061;101000;197;1;197;1;197;0;0;0;0;1;197;0
41;413101096;101000;4700;1;4700;1;4700;0;0;0;0;1;4700;0
41;413101097;101000;2950;3;8850;3;8850;0;0;0;0;3;8850;0
41;413101102;101000;125;1;125;1;125;0;0;0;0;1;125;0
41;413101108;101000;1705;1;1705;1;1705;0;0;0;0;1;1705;0
41;413101143;101000;282;1;282;1;282;0;0;0;0;1;282;0
41;413101144;101000;854;1;854;1;854;0;0;0;0;1;854;0
41;413101174;101000;3000;8;24000;8;24000;0;0;0;0;8;24000;0
41;413101183;101000;1108;1;1108;1;1108;0;0;0;0;1;1108;0
41;413101184;101000;18900;2;37800;2;37800;0;0;0;0;2;37800;0
41;413101202;101000;1960;2;3920;2;3920;0;0;0;0;2;3920;0
41;413101203;101010;600.48;2;1200.95;2;1200.95;0;0;0;0;2;1200.95;0
41;413200211;101000;1520;6;9120;6;9120;0;0;0;0;6;9120;0
41;413300022;101000;24.32;6;145.92;6;145.92;0;0;0;0;6;145.92;0
41;413300038;101000;26;2;52;2;52;0;0;0;0;2;52;0
41;413300067;101000;14.53;2;29.06;2;29.06;0;0;0;0;2;29.06;0
41;413300162;101000;103.2;6;619.19;6;619.19;0;0;0;0;6;619.19;0
41;413300165;101000;98.22;1;98.22;1;98.22;0;0;0;0;1;98.22;0
41;413300173;101000;14.6;41;598.52;42;613.12;0;0;1;14.6;41;598.52;0
41;413300185;101000;68.89;1;68.89;1;68.89;0;0;0;0;1;68.89;0
41;413300191;101000;107.83;5;539.16;5;539.16;0;0;0;0;5;539.16;0
