MBKOM;NAKOM;SNKOM;RBGR;ADKOM
4053940;ILINOPROMET MAKEDONIJA;ILINOPROMET;02419;
1058592;ROELEKTRO;ROELEK;02351;
1121405;UNIS KOMERC;UNIS;02351;
6300936;DJuro DJakovic;DJAKOVIC;02437;
6800823;VOJVODINA KOMBINAT;VOJVODINA;02522;
6018513;UNIVERZAL;UNIVERZAL;02522;RADE KONCAR
6024386;AUTOTEHNA;AUTOTEHNA;02753;
7123272;SUMADIJAPROMET;SUMADIJAPR;02753;
8053332;AGROKOP NAPREDAK;AGROKOP;02717;
6300600;FKL TEMERIN;FKL;02717;
1128094;GRADITELJ OOUR VISOKOGRADNJA;GRADITELJ;02722;
6991718;DP POBEDA;POBEDA;02723;
4033766;TETEKS TETOVO;TETEKS;02726;
2016249;AGROSERVIS RO;AGROSERVIS;02735;
2013916;CENTROKOP TITOGRAD;CENTROKOP;02735;
2014157;INDUSTRIJA GRAD MASINA RADOJE DAKIC;RADOJE DAKIC;02735;
6200290;INTEREKSPORT;NTEREKSPR;02735;
6200311;RADOJE DAKIC;DAKIC;02735;
6011691;RATEL 840-963627-41;RATAR;02735;
2017121;SIZ ZA PUTEVE;SIZ;02735;
6012515;MASINOPROMET;MASINOPR;02735;
2026341;AGROSERVIS OOUR TRANSPORT;AGROSERVIS;02735;
6801447;POBEDA ZARA AD PETROV 275-10220594042-75;POBEDA;01975;
6201938;DOM PENZIONERA;DOM PENZ;02827;
7155913;RAKETA;RAKETA;02739;
6029230;RO GLOBAL;RO GLOBAL;02740;
5077028;AUTOPR LJUBISA LUKIC 220-47138-07;AUTOPREVOZ;02748;
7280238;GOSA 12 OKTOBAR TOPOLA;12 OKTOBAR;02753;
6900895;RUDHEM;RUDHEM;02827;
6022087;MEDICINSKA PLASTIKA;MEDICINSKA;02726;
6200478;AUTOPREVOZ TUZLA;AUTOPREVOZ;02827;
6101976;RUDNICI MRKOG UGLJA BREZA;RUDNICI MRKOG UG;02827;
6701531;JEDINSTVO;JEDINSTVO;02828;
6011608;RO INZINJERING PROMET;RO INZINJERINGPR;02828;
6901808;EJEKTRONIK;ELEKTRONIK;02625;
7120591;ZORKA;ZORKA;02625;
6019234;GALEB 205-2449-16;GALEB;02625;
6024050;PROMET TRANS;PROMET;02625;
6026079;TERMO;TERMO;02670;
7168829;VOCAR PAL 170-30013019000-11;VOCAR;02450;
7168578;7 JULI;7 JULI;02625;
5046351;ZELJEZARA;ZELJEZARA;02696;
6992293;UNIFORM;UNIFORM;02625;
6990746;POLUPLASTIKA;POLUPLA;02625;
7121750;JUGEN;JUGEN;02625;
7181965;FRA;FRA;00440;
7181515;PROSVETA;PROSVETA;00440;
7182325;CER;CER;00440;
7167288;AUTOPREVOZ;AUTOPREVOZ;00440;
6021760;GRAFOKOMERC;GRAFOKOM;00440;
7183089;JUGOPREVOZ;JUGOPREVOZ;00440;
7206160;SLOBODA;SLOBODA;00440;
6002889;NAFTAGAS;NAFTAGAS;00440;
1113208;MLADOST;MLADOST;00444;
6501249;TRANSPORT;TRANSPORT;00447;
5143632;PREVOZNISTVO;PREVOZ;00403;
5099587;KOVINOTEHNA;KOVINOTEH;00403;
6701957;ZAVOD ZA STANDARDI BG 840-42845-21;ZAVOD;00159;
6993257;GRAMONT KOMERC;GRAM.KOMEC;00159;
6703704;MIHAJLO PUPIN;MIHAILO PUP;00159;
6715567;TERMOELKTRO;TERMOELEKTRO;00159;
6700250;BEOGRADELEKTRO 355-1006685-71;BEBEOGRADELEKTRO;00159;
6071368;VOJNA POSTA 1089;VOJNA POSA;00159;
7014759;PIM IVAN MILUTINOVIC;I.MILUTINOVIC;00159;Kraljevica Marka 2
6992994;UPI METAL;UPI METAL;00159;
6996566;BEORAS;BEORAS;00159;
6020666;INDUSTRIJ.INZENJERING;IN.INZENJERING;00159;Otona Zupancica 28
7022662;ZT SARAJEVO GP BEOGRAD;GSP BEOGRA;00159;
6996973;MIRTOVIC LJUBISA;MITROVICLU;00159;
7015186;AUTOSRBIJA BEOGRAD;AUTOSRBIJA;00159;
7006934;LOLA SISTEMI;LOLA;00159;
7063610;ZTO;ZTO;00159;
7060530;AGROOPREMA;AGROOPREMA;00159;
7025238;AUTOREMONT;AUTOREMONT;00159;
7013604;BORA KECIC 260-0136010002605-45;BORA KECIC;00159;
7014147;BRODOGRADILISTE;BRODOGR;00159;
7032951;CELIK;CELIK;00159;
7016905;GALENIKA MAGMA 160-348108-54;GALENIKA;00159;
7027460;INEH TURIST;INEH TURIS;00159;
6004369;INTEREKSPORT;INTEREKS;00159;
7024584;INTERKOMERC 170-5986-98;INTERKOMERC;00159;
6004997;INTERSPED;INTERSPED;00159;
7022228;INTERTEHNA;INTERTEHNA;00159;
7012900;JUGOAUTO;JUGOAUTO;00159;
7019734;LASTA;LASTA;00159;
7032501;MASINSKI FAKULTET;FAKULTET;00159;
7068875;METALSERVIS 355-10347747-81;METALSERVI;00159;
7051042;PRVA PETOLETKA;PRVA PETOL;00159;
7033330;PUTNIK;PUTNIK;00159;
7036817;RADIO KLUB 285-1501000000067-34;RADIO;00159;
7015976;RAPIDEX N SAD 310-2377-66;RAPIDEX;01796;
7025939;DUGABG 105-700-63;DUGA;00159;
7006837;SLUZBENI LIST BEOGRAD;SLUZB.LIST;00159;
6700128;SRBIJAPREVOZ;SRBIJAPREZ;00159;
7085290;STAKLOPAN;STAKLOPAN;00159;
6700071;EKO EKONOMIK doo  205-173386-44;EKO EKONOMIK;00159;PANCEVACKI PUT 68a
7022672;GRADSKO SAOBRACAJNO PREDUZECE;GSP;00159;
7042566;POLJOPRIVREDNI KOMBINAT;PKB;00159;
6018963;PRIVREDNI SAVETNIK:;PRIVR SAVETNIK;00159;
7048661;E.I.SERVISNA MREZA;SERV.MREZA;00159;
7018282;JUGOSLOVENSKA KNJIGA;JUGOSL.KNJ;00159;
6995462;ENERGOKOMERC;ENERGOKOMERC;00159;
7048904;OBEZBEDJENJE KOMERC;OBEZBEDJ.K;00159;
6997007;PALADIN;PALADIN;00159;
7022085;NOLIT;NOLIT;00159;
7008872;MIKROMETAL;MIKROMETAL;00159;
6711634;INDUSTRIJA PRECIZNE MEHANIKE;IND PREC MEH;00159;
6705537;JUGOSLOVENSKA AUTORSKA AGENCIJA;JUG.AUT.AG;00159;
6997678;AUTORSKI STUDIO;AUTORSKI STUDIO;00159;
7033737;TEHNOOPREMA;TEHNOOPR;00159;
7067798;SUMADIJA BGD 160-63874-29;SUMADIJA;00159;
7033735;KOPAONIK;KOPAONIK;00159;
7011474;MESSER TEHNOGAS AD 160-181920-38:;TEHNOGAS;00159;BANJICKI PUT 62
7032935;TEHNOHEMIJA;TEHNOHEMJA;00159;
7059477;TEHNOPROMET;TEHNOPROMET;00159;
7012136;TURISTICKA STAMPA;TUR STAMPA;00159;
7060653;UDARNIK;UDARNIK;00159;
7015909;UNIVERZAL;UNIVERZAL;00159;
7007361;"VATROSPREM;";VATROSPREM;00159;
7033010;ZASTITA RADA BEOGRAD;ZASTITA;00159;
7020716;ZAVOD ZA EKONOMSKE EKSPERTIZE;ZAVOD;00159;
7147228;RTB;RTB;00250;Kestenova
6998160;PLATO D O O PRV TRGOVACKO DRUSTVO;PLATO;00159;
7022231;MOST;MOST;00159;
7007515;SAVREMENA ADMINISTRACIJA;SAVREMENA;00159;
7044178;GENERALXPORT;GENERALXPORT;00159;
6018491; MASINORAD ;MASINORAD;02862;UZUN MARKOVA 4-6
7012993;JUGOPETROL;JUGOPETROL;02895;
7252722;ELIND;ELIND;02862;
6701990;HUTP BALKAN HOTEL 160-258928-68 V.PL;BALKAN;02895;
5094976;GORENJE;GORENJE;02740;
3005623;AUTOTRANSPORT;AUTOTRANSP;02863;
3005437;VIS;VIS;02863;
7159064;SRBIJA 10 OKTOBAR;10 OKTOBAR;02895;
7143150;BUDUCNOST;BUDUCNOST;02895;
7143435;SVETA MLADENOVIC;SVETA MLAD;02895;
7135963;ZANATPROMET;ZANAT PROM;02862;
7256213;JUGOPREVOZ VELIKA PLANA D.O.O.:;JUGOPREVOZ;02895;ALEKSE SANTICA 2
7134649;JP EPS Ogranak KOLUBARA Lazarevac;KOLUBARA;03049;CARICE MILICE 2
6022226;AUTOPREVOZNIK MIRKO STEFANI 290-9621-89;AUTOPREVOZNIK;03120;
7023251;GP MOSTOGRADNJA AD 160-6798-52;MOSTOGRADN;00159;VLAJKOVICEVA 19 a
6700853;SAVEZ GRADJEVINSKIH INZENJERA I TEHNICARA;SAVEZ GIIT;00159;KNEZ MILOSA 9/1
6018696;KLUB UDRUZENJA UNIVERZITETSKIH NASTAVNIK;KLUB UN;00159;SAFARIKOVA 7
7264348;GOSA FOM;FOM;02450;Industrijska 70
6900852;DD PIVARA;DD PIVARA;01927;
7160518;ZZ 7 JULI;ZZ 7 JULI;02916;
8023891;OSNOVNA KANALSKA MREZA;DTD;01796;BULEVAR M TITA
7163126;JP POVRSINSKI KOPOVIug173-179/94;KOSTOLAC;01232;
6980481;AGENCIJA PRIMASPED;PRIMASPED;02450;
8050007;DP RAFINERIJA NAFTE;RAFINERIJA;01927;
6715818;MLIN 7 JULI;MMLIN;01307;
