"SIFK","IMEK","SEDI","ZRAC","POBR","PART","GRUP","ZAJED","KONT1","ANSI1","ZNAK1","MBKO1","KONT2","ANSI2","ZNAK2","MBKO2","KONT3","ANSI3","ZNAK3","MBKO3","KONT4","ANSI4","ZNAK4","MBKO4"
193,UNICREDIT BANKA,BEOGRAD,170-10274653009-65,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
194,KOMERCIJALNA BANKA,BEOGRAD,908-20501-70,,0149001643049,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
195,AU MIRKOVIC,NOVI BEOGRAD,205-207214-22,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
196,UNICREDIT BANKA A.D.,BEOGRAD,170-10274653006-74,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
197,BRILIJANTEKS,SMED.PALANKA,170-0050006072000-73,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
198,OPTIK PROFESIONAL,ZEMUN,205-141104-84,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
199,DUNAV OSIGURANJE,SMEDEREVO,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
200,SOCIETE GENERALE BANKA,BEOGRAD,275-0011102106477-57,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
201,ALBOOKS DOO,NIS,160-422468-74,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
202,NEVA DIMI EXIM D.O.O.,BEOGRAD,220-137489-69,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
203,DELTATEKS,BEOGRAD,355-3200152213-52,,015757,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
204,FOM-KAZNE RADNIKA,,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
205,SZTR VLAJA,SMED. PALANKA,325-9500600001157-71,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
206,UNICREDIT BANKA,BEOGRAD,170-10257673002-51,,1020076512,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
207,FOM-KNJIZICE,,,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
208,STR TRGOVINA-ES,SMED.PALANKA,330-50001218-48,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
209,MILOVAN SAMARDZIC,KRAGUJEVAC,370000000103551-609,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
210,PROCREDIT BANKA,KRAGUJEVAC,908-22001-32,,5441001191866,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
211,DJURDJEVDAN,CACAK,370-10277-50,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
212,INTERNET SHOP,CACAK,155-28266-87,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
213,RAIFFEISEN BANKA,BEOGRAD,265-1710320000001-66,,27-A146374268,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
214,MERCATOR,NOVI SAD,265-1100310000633-90,,93060700346821,TRUE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
215,FINDOMESTIC BANKA,BEOGRAD,240006140049451619,,14101_W0593050,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
400,POVRACAJ SREDSTAVA,SM.PALANKA,160-1160-88,,,FALSE,TRUE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
216,ERSTE BANK,NOVI SAD,908-34001-19,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
217,VOJVODJANSKA BANKA,NOVI SAD,355-0003200264218-45,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
218,SOCIETE GENERALE BANKA,BEOGRAD,275-0011106672940-75,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
219,UNICREDIT BANKA,BEOGRAD,170-10218285005-97,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
220,AGENCIJA PRAGMA,SMED.PALANKA,355-1014045-10,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
221,UNICREDIT BANKA A.D.,BEOGRAD,170-10274653007-71,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
222,VOJVODJANSKA BANKA,NOVI SAD,355-0003200491147-04,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
223,SOCIETE GENERALE BANKA,BEOGRAD,275-0011105948795-98,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
224,METALAC MARKET D.O.O.,GORNJI MILANOVA,275-220023964-55,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
225,VOJVODJANSKA BANKA A.D.,NOVI SAD,355-0003200538636-30,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
226,SOCIETE GENERALE BANKA,BEOGRAD,275-0011105711272-08,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
227,SOCIETE GENERALE BANKA,BEOGRAD,275-0011104993906-64,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
228,SOCIETE GENERALE BANKA,BEOGRAD,275-0011107495460-98,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
229,VOJVODJANSKA BANKA,NOVI SAD,325911060000287277,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
230,LIPA TURS,CICEVAC,205-24984-20,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
231,VOJVODJANSKA BANKA,NOVI SAD,355-0003200455380-23,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
232,SOCIETE GENERALE BANKA,BEOGRAD,275-0011109005753-89,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
233,VOJVODJANSKA BANKA A.D.,NOVI SAD,325911060000763062,,9110600007630,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
234,EUROBANK A.D.,BEOGRAD,250-0000000059660-85,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
235,TELENOR BANKA,BEOGRAD,908-11501-07,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
236,AIK BANKA,BEOGRAD,105-4-17,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
237,SOCIETE GENERALE BANKA A.D.,BEOGRAD,275-0011108935319-28,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
238,SOCIETE GENERALE BANKA A.D.,BEOGRAD,275001110175435496,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
239,SBERBANK A.D.,BEOGRAD,285-1501200000257-45,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
240,SOCIETE GENERALE BANKA,BEOGRAD,275-0011102531712-96,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
241,DIREKTNA BANKA A.D.,KRAGUJEVAC,150-0000000027925-74,,,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
242,SOCIETE GENERALE BANKA,BEOGRAD,275001110499390664,N,N,FALSE,FALSE,,,0,,,,0,,,,0,,,,0,
243,VOJVODJANSKA BANKA,NOVI SAD,355-0003200619319-93,,,FALSE,FALSE,000000,,0,,000000,,0,,000000,,0,,000000,,0,
244,SOCIETE GENERALE BANAKA,BEOGRAD,275-0011101754354-96,,,FALSE,TRUE,,,0,,,,0,,,,0,,,,0,
