"MBRD,C,7","RBVP,C,3","SLOV,C,1","SATI,N,6,2","IZNO,N,14,3","PERC,N,14,4","KOEF,N,12,3","POK2,C,1","RBRM,C,3","KESC,C,1","RBPS,C,2","P_R,C,1","RBMZ,C,4","RBOP,C,4","RBIM,C,3","RBTC,C,8","SIFK,C,5","SALD,N,10,2","STSALD,N,12,2","RATB,N,12,2","RATP,N,12,2","NEAK,N,12,3","REC,N,1,0","RBZA,C,1","GRAD,C,10","KPREB,N,5,3","LPREB,N,5,3","PART,C,30","HKMB,C,7","MRBTC,C,8","POROSL,N,10,2","NAZI,C,20"
0005617,090,T,0,522.476,0,,K,005,R,01,R,,,930,42000000,,,,,,,,,,,,,0002104,,,
0005624,090,T,0,749.771,0,,K,021,R,06,R,,,930,22300000,,,,,,,,,,,,,0002152,,,
0005631,090,T,0,887.058,0,,K,004,R,03,U,,,980,32290000,,,,,,,,,,,,,0002164,,,
0005635,090,T,0,1184.546,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0007849,,,
0005638,090,T,0,634.258,0,,K,005,R,08,U,,,930,33200000,,,,,,,,,,,,,0002115,,,
0005641,090,T,0,731.92,0,,K,009,R,06,U,,,930,33300000,,,,,,,,,,,,,0002181,,,
0005642,090,T,0,1452.958,0,,K,006,R,07,R,,,930,32100000,,,,,,,,,,,,,0002120,,,
0005653,090,T,0,926.711,0,,K,002,R,08,R,,,980,32200000,,,,,,,,,,,,,0002113,,,
0005653,503,T,0,20387.638,22,,K,002,R,08,R,,,980,32200000,,,,,,,,,,,,,0002113,,,
0005680,090,T,0,506.338,0,,K,005,R,06,R,,,997,33300000,,,,,,,,,,,,,0007867,,,
0005682,090,T,0,632.236,0,,K,005,R,06,R,,,910,23100000,,,,,,,,,,,,,0007879,,,
0005683,090,T,0,0,0,,K,004,R,03,P,,,910,32320000,,,,,,,,,,,,,0007878,,,
0005688,098,T,0,1058.717,0,,K,005,R,03,P,,,920,32240000,,,,,,,,,,,,,0007874,,,
0005689,090,T,0,1030.794,0,,K,005,R,03,P,,,930,32220000,,,,,,,,,,,,,0007873,,,
0005692,090,T,0,799.91,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0007870,,,
0005703,090,T,0,868.736,0,,K,009,R,03,U,,,997,33100000,,,,,,,,,,,,,0007884,,,
0005706,090,T,0,1098.759,0,,K,005,R,03,U,,,997,32210000,,,,,,,,,,,,,0007887,,,
0005707,090,T,0,1052.715,0,,K,005,R,06,U,,,920,32290000,,,,,,,,,,,,,0007888,,,
0005709,090,T,0,882.253,0,,K,005,R,03,P,,,920,32320000,,,,,,,,,,,,,0007890,,,
0005713,090,T,0,978.961,0,,K,005,R,03,P,,,997,32320000,,,,,,,,,,,,,0007894,,,
0005714,090,T,0,748.105,0,,K,005,R,03,U,,,910,32290000,,,,,,,,,,,,,0007895,,,
0005723,090,T,0,1126.154,0,,K,005,R,04,P,,,930,32320000,,,,,,,,,,,,,0005154,,,
0005724,090,T,0,665.034,0,,K,005,R,06,U,,,997,32340000,,,,,,,,,,,,,0007902,,,
0005726,090,T,0,832.391,0,,K,005,R,02,U,,,930,32210000,,,,,,,,,,,,,0005726,,,
0005731,090,T,0,574.336,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0008264,,,
0005735,090,T,0,658.629,0,,K,009,R,06,U,,,930,33200000,,,,,,,,,,,,,0008274,,,
0005737,090,T,0,911.139,0,,K,009,R,06,U,,,930,33100000,,,,,,,,,,,,,0008319,,,
0005750,090,T,0,1022.058,0,,K,005,R,03,P,,,991,32240000,,,,,,,,,,,,,0005750,,,
0005793,504,T,0,10000,0,,K,005,R,03,P,,,991,32320000,,,,,,,,,,,,,0005793,,,
0005795,090,T,0,1147.064,0,,K,005,R,03,P,,,980,32250000,,,,,,,,,,,,,0005795,,,
0005797,090,T,0,938.628,0,,K,005,R,04,U,,,910,32320000,,,,,,,,,,,,,0005797,,,
0005801,090,T,0,741.788,0,,K,005,R,03,P,,,992,32120000,,,,,,,,,,,,,0005801,,,
0005821,090,T,0,964.507,0,,K,005,R,03,P,,,910,32230000,,,,,,,,,,,,,0005821,,,
0005832,090,T,0,917.022,0,,K,005,R,03,P,,,997,32260000,,,,,,,,,,,,,0005832,,,
0005875,065,T,0,0,0,,K,005,R,06,R,,,910,31300000,,,,,,,,,,,,,0005875,,,
0005875,090,T,0,227.934,0,,K,005,R,06,R,,,910,31300000,,,,,,,,,,,,,0005875,,,
0005901,090,T,0,845.862,0,,K,005,R,03,P,,,910,32240000,,,,,,,,,,,,,0005901,,,
0005919,090,T,0,739.368,0,,K,005,R,02,U,,,910,32210000,,,,,,,,,,,,,0005919,,,
0005920,090,T,0,895.889,0,,K,005,R,03,P,,,992,32260000,,,,,,,,,,,,,0005920,,,
0005922,090,T,0,926.452,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0005922,,,
0005946,090,T,0,847.712,0,,K,005,R,03,P,,,910,32250000,,,,,,,,,,,,,0005946,,,
0005978,090,T,0,668.995,0,,K,005,R,03,P,,,910,32230000,,,,,,,,,,,,,0005978,,,
0005979,090,T,0,1247.205,0,,K,005,R,03,P,,,997,32290000,,,,,,,,,,,,,0005979,,,
0005999,090,T,0,686.891,0,,K,005,R,06,R,,,991,31200000,,,,,,,,,,,,,0005999,,,
0006010,090,T,0,851.198,0,,K,005,R,03,U,,,930,32290000,,,,,,,,,,,,,0006010,,,
0006012,090,T,0,662.308,0,,K,021,R,06,R,,,930,22100000,,,,,,,,,,,,,0006012,,,
0006025,090,T,0,0,0,,K,005,R,08,R,,,992,23100000,,,,,,,,,,,,,0006025,,,
0006075,090,T,0,790.755,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0006075,,,
0006099,090,T,0,484.787,0,,K,005,R,02,U,,,997,32210000,,,,,,,,,,,,,0006099,,,
