SIFRA;NAZIV
06401;Poslovo|a alatnice
13002;Sef operat.pripr.Reduktora
14001;Magac.gotovih delova
14002;Magac.u magacinu AKZ
14003;Magac.u magac.elektrode
17002;Br.posl.ruc.obrad.met.brus. K3
17003;Brav.posl.na busilici  K3
13301;Ing.u pog.el.odrcav.sistema
13302;Ing.u pog.za regulatore
80100;Gl.referent KOO
80200;Referent interne KOO
80300;Garderober - cistac
80400;Posl.ruk.most.diz.K3-tr.rad.
80500;Transportni radnik-cistac
80600;Magacioner-odrcav.alata
80700;Ing.u pogonu-tehnolog
80800;Posl.voz.vilj.trak.- tr.rad.
80900;Sef el.odrcavanja
03704;Ruk.prodaje za energ.i procesnu opremu
80201;Ref.nabavke i ekst.KOO
06701;Magacioner-kartotekar
14101;Tr.radnik-signalista dizalice
13003;Sef transp.sa obavez.potpis.teh.ispr.voz
08101;Kopirant
02301;"Zam.dir.""GOSA-FOM"";d.o.o."
02302;Zam.dir.fin.i opst.posl.
02703;Gl.ing.za kalkulacije
35206;Sam.ref.mater.obaveza
34906;Sam.ref.likvidature
34801;Gl.ref.fin.operat.-obrac.LD
35601;Strucni saradnik finans.posl.
36201;Gl.ref.osig.osnov.sredstava
40301;Daktilograf telexa i telefaxa
40201;Tehnicki sekretar direktora Drustva
06501;Gl.magac.alatnice odrcav.
06702;Posl.izdav.alata-kartotekar K3
06601;Samostalni magacioner
13902;Administrat.slucbenik
03801;Sef odelj.prodaje EO i dizalice
30602;Posl.odrcav.mas. K-5
13401;Sam.referent OPP
80501;Tr.radnik - cistac u pogonu
80801;xxx
28001;Posl.voz.dizalice K-2
80401;Posl.ruk.most.diz.K2-tr.rad.
27601;Posl.voz.viljus.- tr.rad. K2
03801;Sef odelj.prodaje EO i dizalica
80701;Incenjer u pogonu
40503;^istac
14601;M.strugarski poslovi K4
12503;Poslovodja proizvoda u raduktorima
12603;Poslovodja m.glodac.posl.
13303;Ing.u pog.za el.odrc.postr.TO
27601;Poslovi vozaca viljuskara
14004;Magacioner el.delova
19004;Posl.gas.rez.i isprav. K-4
12501;Poslovodja el.zavarivac.posl.
19302;Posl.gas.rez.i isprav. K-3
12408;Sef radionice
42501;Operativ.tehnic.za odrc.racun.opreme
12619;Sef radionice III
14619;M.glodac.posl.ozub.K-4
14702;M.glod.posl.portalke K-5
30603;Posl.odrcav.mas. K-4
19203;Posl.gas.rez.met.na mas. K-4
17004;Brav.posl.na busilici  K4
16909;Br.posl.ruc.obrad.met.brus. K4
19204;Posl.gas.rez.met.rucno  K-4
19804;Posl.peskar.na aut.peskari K-3
12620;Poslov.gas.rez.ob.mat.sec.na mak.i bus
17005;Brav.posl.odrcav.kranova  K3
16911;Posl.sec.na testerama K-3
16910;Posl.sec.na testerama K-5
27602;Posl.voz.viljuskara K-3
12502;Poslovodja
14004;Magacioner el.delova
27605;Posl.voz.viljus.- tr.rad. K3
30604;Posl.odrcav.mas. K-3
04701;Pomoc.dir.FOM-a za plasman
14501;M.strug.posl.na karuselu K5
14620;M.glodac.posl.ozub.K-5
14301;M.strug.posl.na teskim mas. K-6
28101;Posl.rukovaoca dizalice K2
16804;Br.posl.ruc.obrade met.brus. K-4
12720;Zam.brigad.zavar.posl.
12305;Zam.upravnika pog.IO
10104;Ruk.biroa za inf.sistem
12621;Poslovo|a mas.montace
13604;Ref.za pracenje proizvodnje
13603;Ref.OPP - proizvodnje
12622;Poslovodja na pesk.i sec.na testeri
14703;M.glod.posl.portalke K-4
14006;Alatnicar-magac.u alat.PIO
14005;Magac.za popr.alata u pog.PIO
12721;Brigadir montacnih radova
30801;Posl.odrc.el.postroj.i instal.K4
13304;Ing.el.tehn.za odrcav.el.instal.i masin
23401;El.poslovi automaticara K4
30802;Posl.odrc.el.postroj.i instal.K3
13701;Dispecer masin.odrcavanja
13702;Dispecer T.O.
12722;Gl.smenski majstor
12723;Brigadir TO (smenski)
02805;Vodeci ing.u tehnolog. IO
10501;Vod.tehnolog za program.NC mas.
10902;Tehnolog u tehnol.TMO i Reduktori
10903;Tehnolog AKZ
10401;Gl.tehnolog za prog.NC mas.
10402;Gl.tehnolog za konstr.opreme
10403;Gl.tehnolog za gra|ev.konstr.
12010;Glavni lanser
37910;Programer NU masina
03705;Ruk.odeljenja plasmana
02806;Vod.incenjer za dizalice
02807;Vod.incenjer projekta
02704;Incenjer projekta
13605;Referent realizacije
43401;Kafe kuvar-kurir
02303;Zamenik dir.sektora PR
33306;Sef za standardizaciju
07910;Gl.ref.tehn.dok.i arhive
02705;Gl.ing.za incenjer.posl.
04702;Pomoc.dir.FOM-a za TPP i proizv.
04703;Pomoc.dir.FOM-a za finansije
35110;Gl.ref.fin.operative
34907;Sam.ref.internih obaveza
35003;Sam.ref.fin.operat.-kupaca
35004;Sam.ref.fin.operat.-likvidature
06602;Sam.magacioner-kartotekar
40003;Referent ZNR
35302;Ref.knjigovodstva-uvoza i izvoza
33510;Glavni kontrolor
33610;Ref.za godisnje odmore
33511;Kontrolor fazne kontrole TMO
33512;Kontrolor fazne mas.obrade
33513;Kontrolor u RJ Reduktori
33620;Gl.ref.obezbe|.kvaliteta
27201;Posl.voz.putnic.-ter.voz.K3
02706;Gl.ing.za program cel.konstruk.
33514;Glavni kontrolor TMO
33515;Kontrolor bravar.mas.radova
10105;Ruk.tehnolog.za mas.obradu
10106;Ruk.pripreme sektora PP
33516;Kontrolor masinske obrade
33517;Gl.kontrol.opreme za merenje i kontr
12724;Brigadir el.odrc.TMO
12725;Brigadir m.bravara za TMO
12726;Brigadir el.odrcavanja
12727;Brigadir el.odrc.za PIO i TMO
12728;Brigadir m.bravara za kranove
12729;Brigadir m.bravara za PIO
29901;Mehanic.na odrc.mas.i dizalica K3
10502;Vod.tehnolog u tehnolog.I.O.
35111;Ruk.odeljenja marketinga
08401;Sef za standardizac.-inc.obezbe|.kvalit.
12409;Sef masin.obrade TMO
12410;Sef proizvodnje u pog. TMO
80802;Posl.voz.traktora i viljus. K2
33801;Incenjer AKZ
13305;Incenjer u pog.TMO
06502;Gl.magac. u alatnici PIO
06503;Gl.magac.alatnice Reduktora
06908;Ruk.biroa za rudar.opremu
30601;Posl.odrc.mas.i peci K5
30605;Posl.odrc.masina K4-u TMO
10503;Posl.odrcav.alata-ure|aja
33518;Kontrolor rucno-bravar.radova
12306;"Upravnik pog.""Reduktori"""
12411;Sef mas.obrade i mont.u pog.Reduktori
23101;Elektronicar
12623;Poslovo|a borverskih radova
40504;^istacica i odrc.sanit.cvora
50000;"Predsednik sindikata HK ""GOSA"""
50001;Predsed.sindik.podruc.doo FOM
13306;Incenjer u pog.TO
07901;Ref.za prijem i otpremu poste
06909;Ruk.biroa za elektroopremu
40901;Ref.interne ekspedicije
27101;Posl.voz.traktora K2-tr.rad.
12412;Ing.zavariv.u pogonu
04704;Pomoc.dir.sektora incenjeringa
33201;Ruk.kontrole Reduktora i TMO
33202;Rukovod.kontrole PIO
02707;Gl.ing.za metalursku opremu
10904;Tehnolog u tehnolog.TMO
10905;Tehnolog u tehnolog.CNC
38101;Operater u tehnol.za raz.i invest.posl.
14007;Magacioner HTZ opreme
18601;Projektant-ing. spec.za zavar.
13606;Ref.za pracenje gotove robe
35303;Ref.fin.operat.-obrac.LD
35304;Ref.fin.operat.-blagajnik
35305;Ref.fin.operat.-likvidature
35005;Sam.ref.fin.operat.-inter.obaveza
35006;Sam.ref.fin.operat.-obrac.kred.
10504;Vodeci tehnolog AKZ
38102;Operater na racunaru
02709;Gl.incenjer AKZ
10404;Gl.tehnolog za mas.obradu
36202;Ref.osigur.osnov.sredstava
06910;Ruk.biroa za hidromehan.opremu
13004;Sef operat.pripr. IO
10505;Vod.tehnolog u tehnolog.M.O.
33519;Kontrolor bravar.radova
33307;Sef odelj.KK UK i PR
33402;Vodeci kontrolor mas.obrade
04901;Gl.ref.marketinga
41401;Referent marketinga
12413;Sef mas.obrade i montace
27901;Posl.rukov.auto diz.K4-tr.rad.
14618;M.glodac.posl.ozub.K-3
18101;Posl.izdav.alata  K4
14201;Garderober-cistac u pog.
14008;Magac.u magacinu farbe
02808;Vodeci ing.geodezije
10405;Gl.tehnolog za zavarivanje
04705;Pomoc.dir.FOM-a za proizvodnju
02710;Gl.ing.za koksnu i metalur.opremu
02711;Gl.ing.za rudarsku opremu
02712;Gl.ing.za energet.opr.i dizal.
10406;Gl.tehnolog u tehnol.TMO
13309;Incenjer masinstva
03706;Ruk.prodaje za metalur.opr.i tr.ure|.
39501;Gl.komercijal.incenjeringa
10407;Gl.tehnolog AKZ
02708;Gl.ing.za procesnu opr.i NP
02713;Gl.ing.za rudar.opr.i cel.konstrukc.
