RBVP;NAZI;BLOK;SLOV,C,1;POK1,C,1;POK2,C,1;POK3,C,1;DOVP,L;DFVP,C,1;KESC,C,1;EFSA,L;PRKV,N,2,0;M4,C,1;REDOSLED_POENTAZA_OPIS;PREF,C,1;REDOSLED_POENTAZA;PROD,C,1;PLAC,C,1;PRE,C,1;KONT1,C,6;ANSI1,C,1;ZNAK1,N,2,0;MBKO1,C,7;KONT2,C,6;ANSI2,C,1;ZNAK2,N,2,0;MBKO2,C,7;KONT3,C,6;ANSI3,C,1;ZNAK3,N,2,0;MBKO3,C,7;KONT4,C,6;ANSI4,C,1;ZNAK4,N,2,0;MBKO4,C,7;ZIRO,C,30;PB,C,2;PART,C,20;MONTA,C,1;KATEG,C,1;SM,C,1;OGRAN,C,1;PROSEK,C,1;VARI,C,1
100;USLOVI RADA 0.18;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.18};I;2;K;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
101;USLOVI RADA 0.10;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.10};I;2;K;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
102;USLOVI RADA 0.09;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.09};I;2;K;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
103;USLOVI RADA 0.08;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.08};I;2;K;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
300;KUMULATIVNE ISPLATE;{ || POM->RAZL+POM->DOTA };A;3;G;;1;P;P;1;3;0;31;D;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
301;PRETHODNE ISPLATE;{ || POM->IZNO };A;3;G;;1;P;P;1;3;0;31;D;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
302;KUMULATIV OBUSTAVA;{ || POM->RAZL+POM->DOTA };A;3;G;;1;P;P;1;3;0;31;D;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
410;DOTACIJA DO MBZ;{ || KOP->IZNO };A;2;K;S;1;P;P;0;2;2;31;N;19;0;4;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
415;PIO-PORODILJE;;P;2;K;;0;P;R;0;4;8;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
420;DOTACIJA DO 45% MBZ;{ || KOP->IZNO };A;2;K;S;1;P;P;0;2;2;31;N;19;0;4;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
450;DRZAVNI PRAZNIK   I;{ || KOP->SATI*MDR->KOEF/176*MDR->PREB*KOE->C_R*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
451;GODISNJI ODMOR    I;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*MDR->PREB*MDR->KFAK };O;3;G;;1;;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
452;VERSKI PRAZNIK    I;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*MDR->PREB*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
454;PLACENO OD. 100%  I;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*MDR->PREB*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;4;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
