SM;SIFRA_Materijala;NAZIV;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_Kolicina;POCST_Vrednost;ULAZKolicina;ULAZ_Vrednost;IZLAZKolicina;IZLAZ_Vrednost;STANJE_Kolicina;STANJE_Vrednost;CENA
52;311800184;VIJAK;M  6 x  12;5.6;JUS M.B1.290;kom;101000;4;82.88;0;0;0;0;4;82.88;20.72
52;311800195;VIJAK;M  8 x  15;5.8;JUS M.B1.290;kom;101000;7;56;0;0;0;0;7;56;8
52;311800196;VIJAK;M 12 x  35;8.8;JUS M.B1.282;kom;101000;1;63.51;0;0;0;0;1;63.51;63.51
52;311800208;VIJAK;;;;kom;101000;38;80.38;0;0;0;0;38;80.38;2.12
52;311800213;VIJAK;M 10 x  20;5.8;JUS M.B1.290;kom;101000;132;863.64;0;0;0;0;132;863.64;6.54
52;311800214;VIJAK;M 10 x  25;5.8;JUS M.B1.290;kom;101000;6;287.12;0;0;0;0;6;287.12;47.85
52;311800219;VIJAK;M 12 x  16;5.8 ZN;JUS M.B1.290;kom;101000;9;40.5;0;0;0;0;9;40.5;4.5
52;311800221;VIJAK;M 12 x  20;5.8;JUS M.B1.290;kom;101000;7;213.49;0;0;0;0;7;213.49;30.5
52;311800224;VIJAK;M 12 x  25;8.8 ZN;JUS M.B1.290;kom;101000;30;168;0;0;0;0;30;168;5.6
52;311800235;VIJAK;M  8 x  15;5.8;JUS M.B1.291;kom;101000;108;648;0;0;0;0;108;648;6
52;311800237;VIJAK;M  8 x  20;5.8;JUS M.B1.291;kom;101000;87;86.13;0;0;0;0;87;86.13;0.99
52;311800238;VIJAK;M 10 x  25;5.8;JUS M.B1.291;kom;101000;265;1060;0;0;0;0;265;1060;4
52;311800243;VIJAK;M 12 x  25;8.8;JUS M.B1.270;kom;101010;142;5964;0;0;0;0;142;5964;42
52;311800248;VIJAK ANKER;M16 FC;FC;;kom;101000;15;1113.69;0;0;0;0;15;1113.69;74.25
52;311800256;VIJAK ANKER;M20;FC;;kom;101000;9;886.45;0;0;0;0;9;886.45;98.49
52;311800266;VIJAK  ANKER;24x90;CD;ST373K;kom;101010;15;210.29;0;0;0;0;15;210.29;14.02
52;311800283;VIJAK;M  12 x 100;5.8;TGL 4737;kom;101000;7;392;0;0;0;0;7;392;56
52;311800302;VIJAK;M  6 x  16;5.8CD9CC;JUS M.B1.272;kom;101000;4;119.6;0;0;0;0;4;119.6;29.9
52;311800305;VIJAK PO CRT;50020-82-051   30x440;10.9;;kom;101000;1;2153.15;0;0;0;0;1;2153.15;2153.15
52;311800306;VIJAK PO CRT;50020-82-052   20x420;10.9;;kom;101000;1;964.13;0;0;0;0;1;964.13;964.13
52;311800309;VIJAK;crt 19019-85-040 * M42;8.8;C 19019-85-0;kom;101010;8;31810.9;0;0;0;0;8;31810.9;3976.36
52;311800313;VIJAK;M  4 x  10;8.8;JUS M.B1.290;kom;101000;3;73.85;0;0;0;0;3;73.85;24.62
52;311800320;VIJAK;M  8 x  30;8.8ZN;JUS M.B1.260;kom;101000;7;126;0;0;0;0;7;126;18
52;311800323;VIJAK;M  8 x  22;8.8;JUS M.B1.290;kom;101000;4;101.66;0;0;0;0;4;101.66;25.42
52;311800326;VIJAK;M  8 x  30;8.8;JUS M.B1.260;kom;101000;50;550;0;0;0;0;50;550;11
52;311800330;VIJAK;627492   24x310;8.8;;kom;101000;9;5073.87;0;0;0;0;9;5073.87;563.76
52;311800332;VIJAK;22x380(22.6.664.00.40);8.8;22.6.664.00.;kom;101000;1;369;0;0;0;0;1;369;369
52;311800338;VIJAK;M 24 x 385;8.8;JUS M.B1.260;kom;101000;1;678.4;0;0;0;0;1;678.4;678.4
52;311800339;VIJAK;50021-27-025;8.8;;kom;101000;13;5759.46;0;0;0;0;13;5759.46;443.04
52;311800340;VIJAK;50021-27-26;8.8;;kom;101000;8;3725.91;0;0;0;0;8;3725.91;465.74
52;311800341;VIJAK;M 20 x  40;8.8;JUS M.B1.280;kom;101000;58;6090;0;0;0;0;58;6090;105
